sha256,original,duplicate
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_005.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_006.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_008.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_009.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_010.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_015.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_016.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_017.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_019.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0008.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0019.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0024.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0025.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0028.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0031.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0034.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0035.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0036.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0037.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0038.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0039.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0040.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0044.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0045.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0046.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0066.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0079.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0139.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0140.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0141.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0160.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/027_Health_Bulletin_2023/table_0162.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/028_Health_Bulletin_2022/table_0024.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/028_Health_Bulletin_2022/table_0025.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/028_Health_Bulletin_2022/table_0032.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/028_Health_Bulletin_2022/table_0038.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/028_Health_Bulletin_2022/table_0039.csv
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,cleaned_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,cleaned_tables/028_Health_Bulletin_2022/table_0040.csv
