raw_file,raw_sha256,source_document,source_page,trace_status,parse_status,data_rows,columns,ragged_rows,blank_headers,duplicate_headers,numeric_headers,placeholder_headers,blank_cells,blank_cell_ratio,empty_rows,empty_columns,multiline_cells,replacement_character_cells,control_character_cells,mojibake_cells,mixed_script_cells,suspicious_ocr_cells,structure_status,ocr_status,cleaning_quality_status,mapping_status,sql_load_eligible,loaded_rows,corrected_or_screened_output,overall_status,decision_reasons,raw_retention_policy
extracted_tables/003_bangladesh-country-fact-sheet/table_001.csv,c029fc9df6df667883ad28a4d4e7ba096b6fa362510f93ac3ba762bd51ccd0f9,003_bangladesh-country-fact-sheet.pdf,1,original_exact_page_metadata,ok,5,2,0,0,0,2,2,1,0.1,0,0,8,0,0,0,0,0,review,pass,review_required,blocked_quality_gate,no,0,quarantined_tables/003_bangladesh-country-fact-sheet/table_001.csv,review_blocked_raw_evidence,numeric_headers;placeholder_headers;multiline_or_merged_cells,retain_immutable_evidence
extracted_tables/003_bangladesh-country-fact-sheet/table_002.csv,25457d0002c28510e62d23323dc71ca332564482a16ec2bd2f5635ba6af3b3a7,003_bangladesh-country-fact-sheet.pdf,1,original_exact_page_metadata,ok,6,5,0,0,0,5,5,28,0.933333,4,3,0,0,0,0,0,0,review,pass,review_required,blocked_quality_gate,no,0,quarantined_tables/003_bangladesh-country-fact-sheet/table_002.csv,review_blocked_raw_evidence,numeric_headers;placeholder_headers;high_internal_blank_ratio;empty_rows;empty_columns,retain_immutable_evidence
extracted_tables/003_bangladesh-country-fact-sheet/table_003.csv,b8a82ce6cffea03fa5ec737096f74013ce6bb1587ab82177c024d4e6c022bbdc,003_bangladesh-country-fact-sheet.pdf,1,original_exact_page_metadata,ok,16,12,0,0,0,12,12,167,0.869792,3,6,3,0,0,0,0,0,review,pass,review_required,blocked_quality_gate,no,0,quarantined_tables/003_bangladesh-country-fact-sheet/table_003.csv,review_blocked_raw_evidence,numeric_headers;placeholder_headers;high_internal_blank_ratio;empty_rows;empty_columns;multiline_or_merged_cells,retain_immutable_evidence
extracted_tables/003_bangladesh-country-fact-sheet/table_004.csv,f9819dc5a81abab4c5a3ea082d37b222c2da742918a5afbf3f6d1ba97f1c597d,003_bangladesh-country-fact-sheet.pdf,1,original_exact_page_metadata,ok,63,23,0,0,0,23,23,1392,0.960663,29,10,8,0,0,0,0,0,review,pass,review_required,blocked_quality_gate,no,0,quarantined_tables/003_bangladesh-country-fact-sheet/table_004.csv,review_blocked_raw_evidence,numeric_headers;placeholder_headers;high_internal_blank_ratio;empty_rows;empty_columns;multiline_or_merged_cells,retain_immutable_evidence
extracted_tables/003_bangladesh-country-fact-sheet/table_005.csv,8d56e35257cfd9af3d13d297bef234b1ceaf007b0f29baf80e4bde1b5565e911,003_bangladesh-country-fact-sheet.pdf,1,original_exact_page_metadata,ok,11,3,0,0,0,3,3,18,0.545455,3,1,1,0,0,0,0,0,review,pass,review_required,blocked_quality_gate,no,0,quarantined_tables/003_bangladesh-country-fact-sheet/table_005.csv,review_blocked_raw_evidence,numeric_headers;placeholder_headers;high_internal_blank_ratio;empty_rows;empty_columns;multiline_or_merged_cells,retain_immutable_evidence
extracted_tables/003_bangladesh-country-fact-sheet/table_006.csv,b380706ecded0166a9ecd52aa2bc929724ac304d34b5edd722c4df5e46533c59,003_bangladesh-country-fact-sheet.pdf,1,original_exact_page_metadata,ok,46,8,0,0,0,8,8,320,0.869565,17,3,7,0,0,0,0,0,review,pass,review_required,blocked_quality_gate,no,0,quarantined_tables/003_bangladesh-country-fact-sheet/table_006.csv,review_blocked_raw_evidence,numeric_headers;placeholder_headers;high_internal_blank_ratio;empty_rows;empty_columns;multiline_or_merged_cells,retain_immutable_evidence
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_001.csv,10ac9d4424a4913c78a26841212cd5c9e316c5908848ffaccfcf988e2f4340bb,010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020.pdf,4,original_exact_page_metadata,ok,7,2,0,0,0,2,2,0,0.0,0,0,3,0,0,0,0,0,review,pass,review_required,blocked_quality_gate,no,0,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_001.csv,review_blocked_raw_evidence,numeric_headers;placeholder_headers;multiline_or_merged_cells,retain_immutable_evidence
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_002.csv,a4b869ea74af843aca907a1214d691c7bcf5fb2bc14d66ecf7d48b43210f0a8c,010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020.pdf,20,original_exact_page_metadata,ok,5,3,0,0,0,3,3,10,0.666667,0,0,0,0,0,0,0,0,review,pass,review_required,blocked_quality_gate,no,0,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_002.csv,review_blocked_raw_evidence,numeric_headers;placeholder_headers;high_internal_blank_ratio,retain_immutable_evidence
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_003.csv,1c5b3b0d5622d4c3d5a046d9c40631062c6ad84a76277f2a85211f996ec79790,010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020.pdf,21,original_exact_page_metadata,ok,9,2,0,0,0,2,2,9,0.5,0,0,0,0,0,0,0,0,review,pass,review_required,blocked_quality_gate,no,0,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_003.csv,review_blocked_raw_evidence,numeric_headers;placeholder_headers;high_internal_blank_ratio,retain_immutable_evidence
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_004.csv,3ad7e3d864d1d10260e88a6e90abd55e45747eb64336c5664b2eaa48b2ccfaa5,010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020.pdf,32,original_exact_page_metadata,ok,8,5,0,0,0,5,5,24,0.6,0,1,9,0,0,0,0,1,review,review,review_required,blocked_quality_gate,no,0,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_004.csv,review_blocked_raw_evidence,numeric_headers;placeholder_headers;high_internal_blank_ratio;empty_columns;multiline_or_merged_cells;suspicious_ocr_token_pattern,retain_immutable_evidence
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_005.csv,5b99bb7bfccc86a0d370566a410c50ef177132f1c3e817503b2e60baded33dca,010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020.pdf,37,original_exact_page_metadata,ok,50,8,0,0,0,8,8,320,0.8,0,2,5,0,0,0,0,2,review,review,review_required,blocked_quality_gate,no,0,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_005.csv,review_blocked_raw_evidence,numeric_headers;placeholder_headers;high_internal_blank_ratio;empty_columns;multiline_or_merged_cells;suspicious_ocr_token_pattern,retain_immutable_evidence
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_006.csv,72b7dea4b134817a992e76f76f6cd60278bf3402ac40d5048a06a3454f5dd02a,010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020.pdf,38,original_exact_page_metadata,ok,24,8,0,0,0,8,8,143,0.744792,0,2,5,0,0,0,0,0,review,pass,review_required,blocked_quality_gate,no,0,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_006.csv,review_blocked_raw_evidence,numeric_headers;placeholder_headers;high_internal_blank_ratio;empty_columns;multiline_or_merged_cells,retain_immutable_evidence
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_007.csv,287d4dbee5baa298058810d99234b871d06acd2dddf6e301a1e816ec2ce98aa2,010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020.pdf,42,original_exact_page_metadata,ok,31,6,0,0,0,6,6,151,0.811828,0,2,1,0,0,0,0,1,review,review,review_required,blocked_quality_gate,no,0,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_007.csv,review_blocked_raw_evidence,numeric_headers;placeholder_headers;high_internal_blank_ratio;empty_columns;multiline_or_merged_cells;suspicious_ocr_token_pattern,retain_immutable_evidence
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_008.csv,75cb9a29046eb6b4c30e85935fa7b4a1d0ec5f5fb3f20198bb3399d12fec049f,010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020.pdf,44,original_exact_page_metadata,ok,23,9,0,0,0,9,9,171,0.826087,0,3,1,0,0,0,0,0,review,pass,review_required,blocked_quality_gate,no,0,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_008.csv,review_blocked_raw_evidence,numeric_headers;placeholder_headers;high_internal_blank_ratio;empty_columns;multiline_or_merged_cells,retain_immutable_evidence
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_009.csv,d8ef8579ee5b1f63cb8667801e53a4f84b3819e0519dd59a759f4872f0dafa58,010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020.pdf,45,original_exact_page_metadata,ok,25,7,0,0,0,7,7,144,0.822857,0,2,4,0,0,0,0,0,review,pass,review_required,blocked_quality_gate,no,0,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_009.csv,review_blocked_raw_evidence,numeric_headers;placeholder_headers;high_internal_blank_ratio;empty_columns;multiline_or_merged_cells,retain_immutable_evidence
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_010.csv,5b3e41522597e177497252208d0e05d5755a5863c7179ef96d426248db59732c,010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020.pdf,50,original_exact_page_metadata,ok,16,6,0,0,0,6,6,75,0.78125,0,2,5,0,0,0,0,0,review,pass,review_required,blocked_quality_gate,no,0,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_010.csv,review_blocked_raw_evidence,numeric_headers;placeholder_headers;high_internal_blank_ratio;empty_columns;multiline_or_merged_cells,retain_immutable_evidence
